GID_2,GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
BGD.4.8_1,BGD,Bangladesh,BGD.4_1,Khulna,Meherpur,Zila,Distict,"4057",BD.KH.ST
BGD.4.9_1,BGD,Bangladesh,BGD.4_1,Khulna,Narail,Zila,Distict,"4065",BD.KH.ST
BGD.4.10_1,BGD,Bangladesh,BGD.4_1,Khulna,Satkhira,Zila,Distict,"4087",BD.KH.ST
BGD.8.5_1,BGD,Bangladesh,BGD.8_1,Mymensingh,Jamalpur,Zila,Distict,"3039",BD.MM.TA
BGD.8.10_1,BGD,Bangladesh,BGD.8_1,Mymensingh,Mymensingh,Zila,Distict,"3061",BD.MM.TA
BGD.8.16_1,BGD,Bangladesh,BGD.8_1,Mymensingh,Sherpur,Zila,Distict,"3089",BD.MM.TA
BGD.5.1_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Bogra,Zila,Distict,"5010",BD.RS.SR
BGD.5.2_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Joypurhat,Zila,Distict,"5038",BD.RS.SR
BGD.5.3_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Naogaon,Zila,Distict,"5064",BD.RS.SR
BGD.5.4_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Natore,Zila,Distict,"5069",BD.RS.SR
BGD.5.5_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Nawabganj,Zila,Distict,"5070",BD.RS.SR
BGD.5.6_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Pabna,Zila,Distict,"5076",BD.RS.SR
BGD.5.7_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Rajshahi,Zila,Distict,"5081",BD.RS.SR
BGD.5.8_1,BGD,Bangladesh,BGD.5_1,Rajshahi,Sirajganj,Zila,Distict,"5088",BD.RS.SR
BGD.6.1_1,BGD,Bangladesh,BGD.6_1,Rangpur,Dinajpur,Zila,Distict,"5527",BD.RP.TH
BGD.6.2_1,BGD,Bangladesh,BGD.6_1,Rangpur,Gaibandha,Zila,Distict,"5532",BD.RP.TH
BGD.6.3_1,BGD,Bangladesh,BGD.6_1,Rangpur,Kurigram,Zila,Distict,"5549",BD.RP.TH
BGD.6.4_1,BGD,Bangladesh,BGD.6_1,Rangpur,Lalmonirhat,Zila,Distict,"5552",BD.RP.TH
BGD.6.5_1,BGD,Bangladesh,BGD.6_1,Rangpur,Nilphamari,Zila,Distict,"5573",BD.RP.TH
BGD.6.6_1,BGD,Bangladesh,BGD.6_1,Rangpur,Panchagarh,Zila,Distict,"5577",BD.RP.TH
BGD.6.7_1,BGD,Bangladesh,BGD.6_1,Rangpur,Rangpur,Zila,Distict,"5585",BD.RP.TH
BGD.6.8_1,BGD,Bangladesh,BGD.6_1,Rangpur,Thakurgaon,Zila,Distict,"5594",BD.RP.TH
