GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
KEN.6.4_1,KEN,Kenya,KEN.6_1,Embu,NA,Runyenjes,NA,NA,Constituency,Constituency,"64",NA
KEN.7.1_1,KEN,Kenya,KEN.7_1,Garissa,NA,Balambala,NA,NA,Constituency,Constituency,"28",NA
KEN.7.2_1,KEN,Kenya,KEN.7_1,Garissa,NA,Daadab,NA,NA,Constituency,Constituency,"30",NA
KEN.7.3_1,KEN,Kenya,KEN.7_1,Garissa,NA,Fafi,NA,NA,Constituency,Constituency,"31",NA
KEN.7.4_1,KEN,Kenya,KEN.7_1,Garissa,NA,Garissa Township,NA,NA,Constituency,Constituency,"27",NA
KEN.7.5_1,KEN,Kenya,KEN.7_1,Garissa,NA,Ijara,NA,NA,Constituency,Constituency,"32",NA
KEN.7.6_1,KEN,Kenya,KEN.7_1,Garissa,NA,Lagdera,NA,NA,Constituency,Constituency,"29",NA
KEN.8.1_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Homa Bay Town,NA,NA,Constituency,Constituency,"249",NA
KEN.8.2_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Kabondo Kasipul,NA,NA,Constituency,Constituency,"246",NA
KEN.8.3_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Karachuonyo,NA,NA,Constituency,Constituency,"247",NA
KEN.8.4_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Kasipul,NA,NA,Constituency,Constituency,"245",NA
KEN.8.5_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Mbita,NA,NA,Constituency,Constituency,"251",NA
KEN.8.6_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Ndhiwa,NA,NA,Constituency,Constituency,"250",NA
KEN.8.7_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Rangwe,NA,NA,Constituency,Constituency,"248",NA
KEN.8.8_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,Suba,NA,NA,Constituency,Constituency,"252",NA
KEN.8.9_1,KEN,Kenya,KEN.8_1,Homa Bay,NA,unknown 6,NA,NA,Constituency,Constituency,"0",NA
KEN.9.1_1,KEN,Kenya,KEN.9_1,Isiolo,NA,Isiolo North,NA,NA,Constituency,Constituency,"49",NA
KEN.9.2_1,KEN,Kenya,KEN.9_1,Isiolo,NA,Isiolo South,NA,NA,Constituency,Constituency,"50",NA
KEN.10.1_1,KEN,Kenya,KEN.10_1,Kajiado,NA,Kajiado Central,NA,NA,Constituency,Constituency,"184",NA
KEN.10.2_1,KEN,Kenya,KEN.10_1,Kajiado,NA,Kajiado East,NA,NA,Constituency,Constituency,"185",NA
KEN.10.3_1,KEN,Kenya,KEN.10_1,Kajiado,NA,Kajiado North,NA,NA,Constituency,Constituency,"183",NA
KEN.10.4_1,KEN,Kenya,KEN.10_1,Kajiado,NA,Kajiado South,NA,NA,Constituency,Constituency,"187",NA
KEN.10.5_1,KEN,Kenya,KEN.10_1,Kajiado,NA,Kajiado West,NA,NA,Constituency,Constituency,"186",NA
KEN.11.1_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Butere,NA,NA,Constituency,Constituency,"207",NA
KEN.11.2_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Ikolomani,NA,NA,Constituency,Constituency,"210",NA
KEN.11.3_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Khwisero,NA,NA,Constituency,Constituency,"208",NA
KEN.11.4_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Lugari,NA,NA,Constituency,Constituency,"199",NA
KEN.11.5_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Lurambi,NA,NA,Constituency,Constituency,"202",NA
KEN.11.6_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Malava,NA,NA,Constituency,Constituency,"201",NA
KEN.11.7_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Matungu,NA,NA,Constituency,Constituency,"206",NA
KEN.11.8_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Mumias East,NA,NA,Constituency,Constituency,"205",NA
KEN.11.9_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Mumias West,NA,NA,Constituency,Constituency,"204",NA
KEN.11.10_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Navakholo,NA,NA,Constituency,Constituency,"203",NA
KEN.11.11_1,KEN,Kenya,KEN.11_1,Kakamega,NA,Shinyalu,NA,NA,Constituency,Constituency,"209",NA
KEN.12.1_1,KEN,Kenya,KEN.12_1,Kericho,NA,Ainamoi,NA,NA,Constituency,Constituency,"190",NA
KEN.12.2_1,KEN,Kenya,KEN.12_1,Kericho,NA,Belgut,NA,NA,Constituency,Constituency,"192",NA
KEN.12.3_1,KEN,Kenya,KEN.12_1,Kericho,NA,Bureti,NA,NA,Constituency,Constituency,"191",NA
KEN.12.4_1,KEN,Kenya,KEN.12_1,Kericho,NA,Kipkelion East,NA,NA,Constituency,Constituency,"188",NA
KEN.12.5_1,KEN,Kenya,KEN.12_1,Kericho,NA,Kipkelion West,NA,NA,Constituency,Constituency,"189",NA
KEN.12.6_1,KEN,Kenya,KEN.12_1,Kericho,NA,Sigowet/Soin,NA,NA,Constituency,Constituency,"193",NA
KEN.13.1_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Gatundu North,NA,NA,Constituency,Constituency,"112",NA
KEN.13.2_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Gatundu South,NA,NA,Constituency,Constituency,"111",NA
KEN.13.3_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Githunguri,NA,NA,Constituency,Constituency,"116",NA
KEN.13.4_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Juja,NA,NA,Constituency,Constituency,"113",NA
KEN.13.5_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Kabete,NA,NA,Constituency,Constituency,"119",NA
KEN.13.6_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Kiambaa,NA,NA,Constituency,Constituency,"118",NA
KEN.13.7_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Kiambu,NA,NA,Constituency,Constituency,"117",NA
KEN.13.8_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Kikuyu,NA,NA,Constituency,Constituency,"120",NA
KEN.13.9_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Lari,NA,NA,Constituency,Constituency,"122",NA
KEN.13.10_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Limuru,NA,NA,Constituency,Constituency,"121",NA
KEN.13.11_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Ruiru,NA,NA,Constituency,Constituency,"115",NA
KEN.13.12_1,KEN,Kenya,KEN.13_1,Kiambu,NA,Thika Town,NA,NA,Constituency,Constituency,"114",NA
KEN.14.1_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Ganze,NA,NA,Constituency,Constituency,"15",NA
KEN.14.2_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Kaloleni,NA,NA,Constituency,Constituency,"13",NA
KEN.14.3_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Kilifi North,NA,NA,Constituency,Constituency,"11",NA
KEN.14.4_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Kilifi South,NA,NA,Constituency,Constituency,"12",NA
KEN.14.5_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Magarini,NA,NA,Constituency,Constituency,"17",NA
KEN.14.6_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Malindi,NA,NA,Constituency,Constituency,"16",NA
KEN.14.7_1,KEN,Kenya,KEN.14_1,Kilifi,NA,Rabai,NA,NA,Constituency,Constituency,"14",NA
KEN.15.1_1,KEN,Kenya,KEN.15_1,Kirinyaga,NA,Gichugu,NA,NA,Constituency,Constituency,"101",NA
KEN.15.2_1,KEN,Kenya,KEN.15_1,Kirinyaga,NA,Kirinyaga Central,NA,NA,Constituency,Constituency,"103",NA
KEN.15.3_1,KEN,Kenya,KEN.15_1,Kirinyaga,NA,Mwea,NA,NA,Constituency,Constituency,"100",NA
KEN.15.4_1,KEN,Kenya,KEN.15_1,Kirinyaga,NA,Ndia,NA,NA,Constituency,Constituency,"102",NA
KEN.16.1_1,KEN,Kenya,KEN.16_1,Kisii,NA,Bobasi,NA,NA,Constituency,Constituency,"264",NA
KEN.16.2_1,KEN,Kenya,KEN.16_1,Kisii,NA,Bomachoge Borabu,NA,NA,Constituency,Constituency,"263",NA
KEN.16.3_1,KEN,Kenya,KEN.16_1,Kisii,NA,Bomachoge Chache,NA,NA,Constituency,Constituency,"265",NA
KEN.16.4_1,KEN,Kenya,KEN.16_1,Kisii,NA,Bonchari,NA,NA,Constituency,Constituency,"261",NA
KEN.16.5_1,KEN,Kenya,KEN.16_1,Kisii,NA,Kitutu Chache North,NA,NA,Constituency,Constituency,"268",NA
KEN.16.6_1,KEN,Kenya,KEN.16_1,Kisii,NA,Kitutu Chache South,NA,NA,Constituency,Constituency,"269",NA
KEN.16.7_1,KEN,Kenya,KEN.16_1,Kisii,NA,Nyaribari Chache,NA,NA,Constituency,Constituency,"267",NA
KEN.16.8_1,KEN,Kenya,KEN.16_1,Kisii,NA,Nyaribari Masaba,NA,NA,Constituency,Constituency,"266",NA
KEN.16.9_1,KEN,Kenya,KEN.16_1,Kisii,NA,South Mugirango,NA,NA,Constituency,Constituency,"262",NA
KEN.17.1_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Kisumu Central,NA,NA,Constituency,Constituency,"240",NA
KEN.17.2_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Kisumu East,NA,NA,Constituency,Constituency,"238",NA
KEN.17.3_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Kisumu West,NA,NA,Constituency,Constituency,"239",NA
KEN.17.4_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Muhoroni,NA,NA,Constituency,Constituency,"243",NA
KEN.17.5_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Nyakach,NA,NA,Constituency,Constituency,"244",NA
KEN.17.6_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Nyando,NA,NA,Constituency,Constituency,"242",NA
KEN.17.7_1,KEN,Kenya,KEN.17_1,Kisumu,NA,Seme,NA,NA,Constituency,Constituency,"241",NA
KEN.18.1_1,KEN,Kenya,KEN.18_1,Kitui,NA,Kitui Central,NA,NA,Constituency,Constituency,"72",NA
KEN.18.2_1,KEN,Kenya,KEN.18_1,Kitui,NA,Kitui East,NA,NA,Constituency,Constituency,"73",NA
KEN.18.3_1,KEN,Kenya,KEN.18_1,Kitui,NA,Kitui Rural,NA,NA,Constituency,Constituency,"71",NA
KEN.18.4_1,KEN,Kenya,KEN.18_1,Kitui,NA,Kitui South,NA,NA,Constituency,Constituency,"74",NA
KEN.18.5_1,KEN,Kenya,KEN.18_1,Kitui,NA,Kitui West,NA,NA,Constituency,Constituency,"70",NA
KEN.18.6_1,KEN,Kenya,KEN.18_1,Kitui,NA,Mwingi Central,NA,NA,Constituency,Constituency,"69",NA
KEN.18.7_1,KEN,Kenya,KEN.18_1,Kitui,NA,Mwingi North,NA,NA,Constituency,Constituency,"67",NA
KEN.18.8_1,KEN,Kenya,KEN.18_1,Kitui,NA,Mwingi West,NA,NA,Constituency,Constituency,"68",NA
KEN.19.1_1,KEN,Kenya,KEN.19_1,Kwale,NA,Kinango,NA,NA,Constituency,Constituency,"10",NA
KEN.19.2_1,KEN,Kenya,KEN.19_1,Kwale,NA,Lungalunga,NA,NA,Constituency,Constituency,"8",NA
KEN.19.3_1,KEN,Kenya,KEN.19_1,Kwale,NA,Matuga,NA,NA,Constituency,Constituency,"9",NA
KEN.19.4_1,KEN,Kenya,KEN.19_1,Kwale,NA,Msambweni,NA,NA,Constituency,Constituency,"7",NA
KEN.20.1_1,KEN,Kenya,KEN.20_1,Laikipia,NA,Laikipia East,NA,NA,Constituency,Constituency,"164",NA
KEN.20.2_1,KEN,Kenya,KEN.20_1,Laikipia,NA,Laikipia North,NA,NA,Constituency,Constituency,"165",NA
KEN.20.3_1,KEN,Kenya,KEN.20_1,Laikipia,NA,Laikipia West,NA,NA,Constituency,Constituency,"163",NA
KEN.21.1_1,KEN,Kenya,KEN.21_1,Lamu,NA,Lamu East,NA,NA,Constituency,Constituency,"21",NA
KEN.21.2_1,KEN,Kenya,KEN.21_1,Lamu,NA,Lamu West,NA,NA,Constituency,Constituency,"5",NA
KEN.22.1_1,KEN,Kenya,KEN.22_1,Machakos,NA,Kangundo,NA,NA,Constituency,Constituency,"77",NA
KEN.22.2_1,KEN,Kenya,KEN.22_1,Machakos,NA,Kathiani,NA,NA,Constituency,Constituency,"79",NA
KEN.22.3_1,KEN,Kenya,KEN.22_1,Machakos,NA,Machakos Town,NA,NA,Constituency,Constituency,"81",NA
KEN.22.4_1,KEN,Kenya,KEN.22_1,Machakos,NA,Masinga,NA,NA,Constituency,Constituency,"75",NA
KEN.22.5_1,KEN,Kenya,KEN.22_1,Machakos,NA,Matungulu,NA,NA,Constituency,Constituency,"78",NA
KEN.22.6_1,KEN,Kenya,KEN.22_1,Machakos,NA,Mavoko,NA,NA,Constituency,Constituency,"80",NA
KEN.22.7_1,KEN,Kenya,KEN.22_1,Machakos,NA,Mwala,NA,NA,Constituency,Constituency,"82",NA
KEN.22.8_1,KEN,Kenya,KEN.22_1,Machakos,NA,unknown 7,NA,NA,Constituency,Constituency,"0",NA
KEN.22.9_1,KEN,Kenya,KEN.22_1,Machakos,NA,Yatta,NA,NA,Constituency,Constituency,"76",NA
KEN.23.1_1,KEN,Kenya,KEN.23_1,Makueni,NA,Kaiti,NA,NA,Constituency,Constituency,"85",NA
KEN.23.2_1,KEN,Kenya,KEN.23_1,Makueni,NA,Kibwezi East,NA,NA,Constituency,Constituency,"88",NA
KEN.23.3_1,KEN,Kenya,KEN.23_1,Makueni,NA,Kibwezi West,NA,NA,Constituency,Constituency,"87",NA
KEN.23.4_1,KEN,Kenya,KEN.23_1,Makueni,NA,Kilome,NA,NA,Constituency,Constituency,"84",NA
KEN.23.5_1,KEN,Kenya,KEN.23_1,Makueni,NA,Makueni,NA,NA,Constituency,Constituency,"86",NA
KEN.23.6_1,KEN,Kenya,KEN.23_1,Makueni,NA,Mbooni,NA,NA,Constituency,Constituency,"83",NA
KEN.24.1_1,KEN,Kenya,KEN.24_1,Mandera,NA,Banissa,NA,NA,Constituency,Constituency,"40",NA
KEN.24.2_1,KEN,Kenya,KEN.24_1,Mandera,NA,Lafey,NA,NA,Constituency,Constituency,"44",NA
KEN.24.3_1,KEN,Kenya,KEN.24_1,Mandera,NA,Mandera East,NA,NA,Constituency,Constituency,"43",NA
KEN.24.4_1,KEN,Kenya,KEN.24_1,Mandera,NA,Mandera North,NA,NA,Constituency,Constituency,"41",NA
KEN.24.5_1,KEN,Kenya,KEN.24_1,Mandera,NA,Mandera South,NA,NA,Constituency,Constituency,"42",NA
KEN.24.6_1,KEN,Kenya,KEN.24_1,Mandera,NA,Mandera West,NA,NA,Constituency,Constituency,"39",NA
KEN.24.7_1,KEN,Kenya,KEN.24_1,Mandera,NA,unknown 1,NA,NA,Constituency,Constituency,"0",NA
KEN.25.1_1,KEN,Kenya,KEN.25_1,Marsabit,NA,Laisamis,NA,NA,Constituency,Constituency,"48",NA
KEN.25.2_1,KEN,Kenya,KEN.25_1,Marsabit,NA,Moyale,NA,NA,Constituency,Constituency,"45",NA
KEN.25.3_1,KEN,Kenya,KEN.25_1,Marsabit,NA,North Horr,NA,NA,Constituency,Constituency,"46",NA
KEN.25.4_1,KEN,Kenya,KEN.25_1,Marsabit,NA,Saku,NA,NA,Constituency,Constituency,"47",NA
KEN.26.1_1,KEN,Kenya,KEN.26_1,Meru,NA,Buuri,NA,NA,Constituency,Constituency,"57",NA
KEN.26.2_1,KEN,Kenya,KEN.26_1,Meru,NA,Central Imenti,NA,NA,Constituency,Constituency,"58",NA
KEN.26.3_1,KEN,Kenya,KEN.26_1,Meru,NA,Igembe Central,NA,NA,Constituency,Constituency,"52",NA
KEN.26.4_1,KEN,Kenya,KEN.26_1,Meru,NA,Igembe North,NA,NA,Constituency,Constituency,"53",NA
KEN.26.5_1,KEN,Kenya,KEN.26_1,Meru,NA,Igembe South,NA,NA,Constituency,Constituency,"51",NA
KEN.26.6_1,KEN,Kenya,KEN.26_1,Meru,NA,North Imenti,NA,NA,Constituency,Constituency,"56",NA
KEN.26.7_1,KEN,Kenya,KEN.26_1,Meru,NA,South Imenti,NA,NA,Constituency,Constituency,"59",NA
KEN.26.8_1,KEN,Kenya,KEN.26_1,Meru,NA,Tigania East,NA,NA,Constituency,Constituency,"55",NA
KEN.26.9_1,KEN,Kenya,KEN.26_1,Meru,NA,Tigania West,NA,NA,Constituency,Constituency,"54",NA
KEN.26.10_1,KEN,Kenya,KEN.26_1,Meru,NA,unknown 5,NA,NA,Constituency,Constituency,"0",NA
KEN.27.1_1,KEN,Kenya,KEN.27_1,Migori,NA,Awendo,NA,NA,Constituency,Constituency,"254",NA
KEN.27.2_1,KEN,Kenya,KEN.27_1,Migori,NA,Kuria East,NA,NA,Constituency,Constituency,"260",NA
KEN.27.3_1,KEN,Kenya,KEN.27_1,Migori,NA,Kuria West,NA,NA,Constituency,Constituency,"259",NA
KEN.27.4_1,KEN,Kenya,KEN.27_1,Migori,NA,Nyatike,NA,NA,Constituency,Constituency,"258",NA
KEN.27.5_1,KEN,Kenya,KEN.27_1,Migori,NA,Rongo,NA,NA,Constituency,Constituency,"253",NA
KEN.27.6_1,KEN,Kenya,KEN.27_1,Migori,NA,Suna East,NA,NA,Constituency,Constituency,"255",NA
KEN.27.7_1,KEN,Kenya,KEN.27_1,Migori,NA,Suna West,NA,NA,Constituency,Constituency,"256",NA
KEN.27.8_1,KEN,Kenya,KEN.27_1,Migori,NA,Uriri,NA,NA,Constituency,Constituency,"257",NA
KEN.28.1_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Changamwe,NA,NA,Constituency,Constituency,"1",NA
KEN.28.2_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Jomvu,NA,NA,Constituency,Constituency,"2",NA
KEN.28.3_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Kisauni,NA,NA,Constituency,Constituency,"3",NA
KEN.28.4_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Likoni,NA,NA,Constituency,Constituency,"5",NA
KEN.28.5_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Mvita,NA,NA,Constituency,Constituency,"6",NA
KEN.28.6_1,KEN,Kenya,KEN.28_1,Mombasa,NA,Nyali,NA,NA,Constituency,Constituency,"4",NA
KEN.29.1_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Gatanga,NA,NA,Constituency,Constituency,"110",NA
KEN.29.2_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Kandara,NA,NA,Constituency,Constituency,"109",NA
KEN.29.3_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Kangema,NA,NA,Constituency,Constituency,"104",NA
KEN.29.4_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Kigumo,NA,NA,Constituency,Constituency,"107",NA
KEN.29.5_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Kiharu,NA,NA,Constituency,Constituency,"106",NA
KEN.29.6_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Maragwa,NA,NA,Constituency,Constituency,"108",NA
KEN.29.7_1,KEN,Kenya,KEN.29_1,Murang'a,NA,Mathioya,NA,NA,Constituency,Constituency,"105",NA
KEN.30.1_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Dagoretti North,NA,NA,Constituency,Constituency,"275",NA
KEN.30.2_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Dagoretti South,NA,NA,Constituency,Constituency,"276",NA
KEN.30.3_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Embakasi Central,NA,NA,Constituency,Constituency,"284",NA
KEN.30.4_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Embakasi East,NA,NA,Constituency,Constituency,"285",NA
KEN.30.5_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Embakasi North,NA,NA,Constituency,Constituency,"283",NA
KEN.30.6_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Embakasi South,NA,NA,Constituency,Constituency,"282",NA
KEN.30.7_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Embakasi West,NA,NA,Constituency,Constituency,"286",NA
KEN.30.8_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Kamukunji,NA,NA,Constituency,Constituency,"288",NA
KEN.30.9_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Kasarani,NA,NA,Constituency,Constituency,"280",NA
KEN.30.10_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Kibra,NA,NA,Constituency,Constituency,"278",NA
KEN.30.11_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Langata,NA,NA,Constituency,Constituency,"277",NA
KEN.30.12_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Makadara,NA,NA,Constituency,Constituency,"287",NA
KEN.30.13_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Mathare,NA,NA,Constituency,Constituency,"290",NA
KEN.30.14_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Roysambu,NA,NA,Constituency,Constituency,"279",NA
KEN.30.15_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Ruaraka,NA,NA,Constituency,Constituency,"281",NA
KEN.30.16_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Starehe,NA,NA,Constituency,Constituency,"289",NA
KEN.30.17_1,KEN,Kenya,KEN.30_1,Nairobi,NA,Westlands,NA,NA,Constituency,Constituency,"274",NA
KEN.31.1_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Bahati,NA,NA,Constituency,Constituency,"174",NA
KEN.31.2_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Gilgil,NA,NA,Constituency,Constituency,"169",NA
KEN.31.3_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Kuresoi North,NA,NA,Constituency,Constituency,"171",NA
KEN.31.4_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Kuresoi South,NA,NA,Constituency,Constituency,"170",NA
KEN.31.5_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Molo,NA,NA,Constituency,Constituency,"166",NA
KEN.31.6_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Naivasha,NA,NA,Constituency,Constituency,"168",NA
KEN.31.7_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Nakuru Town East,NA,NA,Constituency,Constituency,"176",NA
KEN.31.8_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Nakuru Town West,NA,NA,Constituency,Constituency,"175",NA
KEN.31.9_1,KEN,Kenya,KEN.31_1,Nakuru,NA,Njoro,NA,NA,Constituency,Constituency,"167",NA
