type,brickid,longitude,latitude
fcbk,BKI-277,76.3848392356,29.0952937414
fcbk,BKI-278,76.3916505222,28.8614493464
fcbk,BKI-279,76.42274796,29.1462048761
fcbk,BKI-280,76.5343710426,29.0271309873
fcbk,BKI-281,76.4656073898,29.0418723762
fcbk,BKI-282,76.3696253093,29.0763868476
zigzag,BKI-283,76.2680573924,28.8174286939
zigzag,BKI-284,76.3297315689,29.0246563443
fcbk,BKI-285,74.055229677,29.462013093
fcbk,BKI-286,74.1218965571,29.4660348363
fcbk,BKI-287,74.1721731156,29.4317427005
fcbk,BKI-288,74.0036821953,29.459391286
fcbk,BKI-289,74.2698979896,29.5561735312
fcbk,BKI-290,74.2559662614,29.540652466
fcbk,BKI-291,74.0907088016,29.52862887
fcbk,BKI-292,73.9834965127,29.4684857468
fcbk,BKI-293,74.1041485949,29.4771690564
fcbk,BKI-294,84.0577207635,25.8423067313
fcbk,BKI-295,83.8484539067,25.8952358927
fcbk,BKI-296,83.9201140844,25.8239254978
fcbk,BKI-297,74.2805079072,29.5528976382
fcbk,BKI-298,74.0364966508,29.4638470681
fcbk,BKI-299,74.102965469,29.4771699629
fcbk,BKI-300,74.2508884706,29.5586910392
fcbk,BKI-301,74.1418355164,29.4469487542
fcbk,BKI-302,73.9911119153,29.4189608167
fcbk,BKI-303,74.2740243303,29.5362998837
fcbk,BKI-304,74.184157091,29.5382242929
zigzag,BKI-305,76.4351632067,28.8419152911
fcbk,BKI-306,83.8136949467,25.9202592366
fcbk,BKI-307,84.1861647535,25.8707567474
zigzag,BKI-308,84.1033637182,25.6201123064
fcbk,BKI-309,74.1854937819,29.5386443986
fcbk,BKI-310,74.1426153206,29.4457761335
fcbk,BKI-311,74.2936747597,29.3835674037
fcbk,BKI-312,74.2765643687,29.555897776
fcbk,BKI-313,74.1133460296,29.4619802301
fcbk,BKI-314,74.1194041451,29.4631016976
fcbk,BKI-315,74.2591904284,29.5544964982
fcbk,BKI-316,74.199156951,29.5414775694
fcbk,BKI-317,74.2574191706,29.5552910201
fcbk,BKI-318,74.0050407293,29.460562508
fcbk,BKI-319,74.2300099473,29.3424644429
fcbk,BKI-320,74.1975641175,29.491226862
fcbk,BKI-321,74.2506999992,29.5442198928
fcbk,BKI-322,74.2791298013,29.5547260223
fcbk,BKI-323,74.2647187707,29.5423083053
fcbk,BKI-324,74.0804002312,29.3634085037
fcbk,BKI-325,74.1415663971,29.4483450694
fcbk,BKI-326,74.2584819347,29.5448083331
fcbk,BKI-327,81.0811340369,26.2340024845
fcbk,BKI-328,81.1069946383,26.1252234514
zigzag,BKI-329,81.4985950156,26.2635905437
fcbk,BKI-330,81.3003330404,26.2448635482
fcbk,BKI-331,74.2756223071,29.5409765879
fcbk,BKI-332,74.2637231211,29.553274071
fcbk,BKI-333,74.251853678,29.5499715239
fcbk,BKI-334,74.1238442374,29.4608228733
zigzag,BKI-335,77.6933616452,29.5399978665
fcbk,BKI-336,74.1185822926,29.459695329
zigzag,BKI-337,77.6895711018,29.4965763666
fcbk,BKI-345,77.8942270704,29.313601025
fcbk,BKI-346,77.7281386436,29.313489679
fcbk,BKI-365,87.4309696885,23.6247263438
fcbk,BKI-366,87.7224013025,23.7187916571
fcbk,BKI-367,87.799817928,23.8404721883
fcbk,BKI-370,87.1077256628,23.3304460484
fcbk,BKI-371,87.3419168169,23.1711658534
fcbk,BKI-372,87.307872655,23.1348550981
fcbk,BKI-373,87.21776769,23.1644839262
fcbk,BKI-374,87.0712137185,23.2643849459
fcbk,BKI-375,87.142026059,23.2222128499
fcbk,BKI-376,87.3134021015,23.4559621254
fcbk,BKI-377,87.1067001245,23.2212674186
fcbk,BKI-378,87.1069946376,23.2588826137
fcbk,BKI-384,81.1926694501,26.2923961065
fcbk,BKI-385,80.9276054103,28.3856334327
fcbk,BKI-386,88.8473218598,22.7852331068
zigzag,BKI-387,88.8100333656,23.0441598173
fcbk,BKI-388,88.84586842,22.7854013584
zigzag,BKI-389,88.8066176027,22.7233045607
fcbk,BKI-390,79.2763809615,28.6661454979
fcbk,BKI-391,79.076740449,28.4767635788
fcbk,BKI-392,78.9894951712,28.4904341704
fcbk,BKI-393,79.2729976992,28.5417717231
fcbk,BKI-394,78.8739195172,28.6567398534
fcbk,BKI-395,79.2285093837,28.7288723064
fcbk,BKI-396,79.0242829557,28.5416894557
fcbk,BKI-397,78.8821962081,28.6437797064
fcbk,BKI-398,79.2494610002,28.7703632322
fcbk,BKI-399,79.1611511375,28.680362016
fcbk,BKI-400,74.9684765907,29.6339161734
fcbk,BKI-401,74.9882956533,29.6331831766
fcbk,BKI-402,75.2111854506,29.6141874144
zigzag,BKI-403,87.6177739557,25.4001849993
zigzag,BKI-404,74.962111692,29.8602483253
fcbk,BKI-411,78.2719901708,29.5931380937
fcbk,BKI-414,78.2869847716,29.6430334771
fcbk,BKI-420,78.3622000125,29.6301406525
fcbk,BKI-426,77.73661473,28.3700387641
zigzag,BKI-427,77.7242569232,28.1805028091
fcbk,BKI-428,77.6364726479,28.0272478617
zigzag,BKI-429,77.8066241325,28.307102033
fcbk,BKI-430,77.7387725345,28.0985361151
fcbk,BKI-431,77.8725107819,28.2770225878
fcbk,BKI-432,77.8942020416,28.0238781031
fcbk,BKI-433,77.9048880092,28.3064350759
zigzag,BKI-434,77.6812116042,28.0044370165
fcbk,BKI-435,77.8646268289,28.171688013
fcbk,BKI-436,77.7512311165,28.3308890608
fcbk,BKI-437,77.5739468001,28.1720679497
zigzag,BKI-438,77.7728496845,28.1917770374
fcbk,BKI-439,77.5803890675,28.3451852876
zigzag,BKI-440,77.8210616154,28.2865682086
fcbk,BKI-441,77.805537742,28.2119984362
fcbk,BKI-442,77.5873730305,28.3351569334
fcbk,BKI-443,77.9288676944,28.3454794812
fcbk,BKI-444,77.572713867,28.1706817113
zigzag,BKI-445,77.8481070027,28.3089196586
fcbk,BKI-446,77.7000350226,27.9973742063
fcbk,BKI-447,77.5917121429,28.361472802
fcbk,BKI-448,77.7401582178,28.09703534
zigzag,BKI-449,77.583261338,28.3526542279
fcbk,BKI-450,77.6067717012,28.0294540418
fcbk,BKI-451,77.9350699032,29.8188945797
fcbk,BKI-452,77.8318241351,28.2775640953
fcbk,BKI-453,77.6695839597,28.0001855102
fcbk,BKI-454,77.8869838737,27.9887372514
zigzag,BKI-455,77.5739432605,28.3690445427
fcbk,BKI-456,77.5580100588,28.235446373
zigzag,BKI-457,77.5548207963,28.1849137282
fcbk,BKI-458,77.6477833869,28.0476932255
fcbk,BKI-459,77.5682144168,28.0882906874
zigzag,BKI-460,77.779036047,28.3487055424
fcbk,BKI-461,77.558721929,28.3563282645
fcbk,BKI-462,77.5619839904,28.084342097
fcbk,BKI-463,77.6566145605,28.345805588
fcbk,BKI-464,77.9262769916,28.0048574335
fcbk,BKI-465,77.5653265885,28.0808961728
fcbk,BKI-466,77.7394534965,28.161470182
fcbk,BKI-467,77.6054160138,28.0356239183
fcbk,BKI-468,77.5578423907,28.182263518
fcbk,BKI-469,77.8567460857,28.068257814
zigzag,BKI-470,77.5742177056,28.3699174294
fcbk,BKI-471,77.9009429545,28.3746601669
zigzag,BKI-472,77.5752485128,28.3639481989
fcbk,BKI-473,77.6199112212,28.1980683551
fcbk,BKI-474,79.1082148945,27.2505667208
fcbk,BKI-475,77.6007974834,28.0659272692
fcbk,BKI-476,79.1718720242,27.3253919394
fcbk,BKI-477,79.1107300822,27.24420651
fcbk,BKI-478,79.0382028446,27.3030348889
fcbk,BKI-479,79.0208107234,27.338200246
zigzag,BKI-480,79.2594840888,27.4634324579
fcbk,BKI-481,77.5695741247,28.3054424948
fcbk,BKI-482,77.5612511867,28.132173781
fcbk,BKI-483,77.7972911389,28.200738923
fcbk,BKI-484,77.6929042252,28.2315365627
fcbk,BKI-485,77.5838643231,28.3680834655
fcbk,BKI-486,77.8161201103,28.0215527223
fcbk,BKI-487,77.905152602,28.374037961
fcbk,BKI-488,77.835768921,28.3686734305
fcbk,BKI-489,77.6081756305,28.0181942356
fcbk,BKI-490,77.903616803,28.3809537576
fcbk,BKI-491,77.8912361383,28.3842777294
fcbk,BKI-492,77.9022889162,28.3737434772
fcbk,BKI-493,77.6460346186,28.0592138522
fcbk,BKI-494,77.6146563981,28.0498730105
zigzag,BKI-495,77.5679652311,28.3618662317
fcbk,BKI-496,77.759291464,28.3683045741
fcbk,BKI-497,77.5263578869,28.0789976085
fcbk,BKI-498,77.8674851138,28.1766027837
fcbk,BKI-499,77.8815520691,28.3300499392
fcbk,BKI-500,77.8612624607,28.1881450683
zigzag,BKI-501,77.6936325632,28.3304933038
fcbk,BKI-502,77.5919692063,28.3640930327
zigzag,BKI-503,77.7085803921,28.3609666414
fcbk,BKI-504,77.8302959473,28.2578903212
fcbk,BKI-505,77.6727036783,28.0063906232
zigzag,BKI-512,86.2889445741,26.2070051954
zigzag,BKI-513,86.0439768308,26.3634906784
zigzag,BKI-514,86.2965146632,26.0317510215
zigzag,BKI-515,86.3191817394,26.2404569213
fcbk,BKI-516,86.3055915806,26.132863644
fcbk,BKI-517,86.3284716088,26.0240715357
zigzag,BKI-518,86.3241244878,26.2939677912
zigzag,BKI-519,86.1612260935,26.1799885774
fcbk,BKI-520,86.2531733825,26.1687809452
zigzag,BKI-521,86.206634733,26.1642195094
zigzag,BKI-522,86.2194134492,26.344534792
zigzag,BKI-523,86.3751486641,26.3898287276
zigzag,BKI-524,86.2979120185,26.1416483714
zigzag,BKI-525,86.3876805373,26.0929464009
fcbk,BKI-526,86.20588218,26.1478600091
zigzag,BKI-527,86.4169191458,26.1963830839
zigzag,BKI-528,86.3853937483,26.1377612624
zigzag,BKI-529,86.1243502129,26.1795311676
zigzag,BKI-530,86.174924303,26.3657030379
fcbk,BKI-531,86.1905814023,26.0699632319
zigzag,BKI-532,86.3264590236,26.0737427768
zigzag,BKI-533,86.3318220396,26.2595841972
fcbk,BKI-534,86.3683774697,26.2142829062
zigzag,BKI-535,86.2638491261,26.1402191115
zigzag,BKI-536,86.1217103714,26.3123669371
fcbk,BKI-537,86.3092155266,26.2236408224
zigzag,BKI-538,86.4451244314,26.3601777405
zigzag,BKI-539,86.0597348875,26.1186414337
zigzag,BKI-540,86.1837964146,26.3390316243
fcbk,BKI-541,86.1953444269,26.3894279889
zigzag,BKI-542,86.1527980505,26.2499783317
zigzag,BKI-543,86.295194695,26.2223806018
zigzag,BKI-544,86.1305369819,26.2057773558
zigzag,BKI-545,86.4281516173,26.2026153892
zigzag,BKI-546,86.3074801884,26.0062457177
fcbk,BKI-547,86.0256651576,26.1203592273
zigzag,BKI-548,86.2202266553,26.0232014322
fcbk,BKI-549,86.3445563072,26.1822417362
zigzag,BKI-550,86.4639651125,26.3185555735
zigzag,BKI-551,86.2649243497,26.0514743751
zigzag,BKI-552,86.3689240866,26.1463162904
zigzag,BKI-553,86.216903775,26.1980893564
fcbk,BKI-554,86.3204285416,26.0895785154
zigzag,BKI-555,86.2381057318,26.2936502198
zigzag,BKI-556,86.2896632905,26.3698049062
fcbk,BKI-557,86.1459346282,26.1656687044
zigzag,BKI-558,86.0392434049,26.0056253162
zigzag,BKI-559,86.2936712648,26.2691877821
zigzag,BKI-560,86.1461644701,25.9919834016
fcbk,BKI-561,86.2376029772,26.3367444343
zigzag,BKI-562,86.1833403622,25.9975809353
fcbk,BKI-563,86.1509858785,26.0463973854
fcbk,BKI-564,86.384651591,26.2902352505
zigzag,BKI-565,86.3587017089,26.1126021201
zigzag,BKI-566,86.2767601381,26.009023588
fcbk,BKI-567,86.3812566985,26.2420876212
zigzag,BKI-568,86.3884116796,26.3045821641
zigzag,BKI-569,86.2966724721,26.2814175616
fcbk,BKI-570,86.3510414936,26.3565492811
zigzag,BKI-571,86.6285402474,24.9411932589
fcbk,BKI-572,79.2073624305,27.8790460518
fcbk,BKI-573,78.8481545247,27.8095703355
fcbk,BKI-574,79.1395383888,27.5977040217
fcbk,BKI-575,79.1701398376,27.9532940829
fcbk,BKI-576,78.9175129725,27.635010094
fcbk,BKI-577,79.1856943373,27.9170202195
fcbk,BKI-578,78.8641427006,27.6582443906
fcbk,BKI-579,78.8457594393,27.8068727831
fcbk,BKI-580,73.2802440376,29.203808494
fcbk,BKI-581,73.4162979757,29.1839868313
fcbk,BKI-582,78.8714173239,27.75814335
fcbk,BKI-583,78.9540072231,27.7409339202
fcbk,BKI-584,78.9561591725,27.7406492843
fcbk,BKI-585,78.842791448,27.8051490395
fcbk,BKI-586,79.2611325175,27.8539985744
fcbk,BKI-587,79.2684554546,27.8614499041
fcbk,BKI-588,78.9046665794,27.5912807287
fcbk,BKI-600,81.2340294419,27.820846255
fcbk,BKI-601,81.4682272258,27.8818775757
fcbk,BKI-602,81.4699996673,27.9424120139
zigzag,BKI-603,81.4649256405,27.9864712879
fcbk,BKI-604,79.0738423964,27.6128117192
fcbk,BKI-605,78.9315235528,27.7168147324
fcbk,BKI-606,78.976876349,27.703646514
fcbk,BKI-607,78.9568032391,27.604858388
fcbk,BKI-608,78.8451315316,27.8087165384
fcbk,BKI-609,79.2679667315,27.8629860323
fcbk,BKI-610,79.2429249664,27.8154934301
fcbk,BKI-611,79.2232854499,27.9017816202
fcbk,BKI-612,78.9435909281,27.7478825618
fcbk,BKI-615,81.4733294809,27.9067637235
fcbk,BKI-616,81.4965705942,27.7591251868
zigzag,BKI-617,81.4504083939,27.9690532029
fcbk,BKI-618,81.5184514783,27.8603563086
fcbk,BKI-619,81.4944151705,27.7652268642
fcbk,BKI-620,78.8726287734,27.7602950125
zigzag,BKI-621,83.6080122322,26.1862562748
fcbk,BKI-622,83.3654066941,26.379751095
fcbk,BKI-636,79.0529170777,26.7473303545
fcbk,BKI-637,79.2036142535,26.6401806581
fcbk,BKI-638,79.0499558716,26.7396372109
fcbk,BKI-639,79.0488385358,26.7339308636
zigzag,BKI-640,74.6241092646,29.7226896733
fcbk,BKI-641,74.4620186809,29.7032389096
fcbk,BKI-642,74.6406720214,29.8269983675
fcbk,BKI-643,74.4501873427,29.8736396754
fcbk,BKI-651,78.9896238622,26.7913776352
fcbk,BKI-652,79.1103919852,26.6769929802
fcbk,BKI-653,78.9591684168,26.7288425781
fcbk,BKI-654,79.0634298307,26.7114198911
fcbk,BKI-655,78.9650916968,26.7252974385
fcbk,BKI-656,74.3843877563,29.5904060487
zigzag,BKI-657,74.602093229,29.8984829406
fcbk,BKI-658,74.7354058994,29.5858002
fcbk,BKI-659,74.5186921677,29.9113113305
fcbk,BKI-665,74.7396168259,29.6052729692
fcbk,BKI-666,74.3841590726,29.6786135861
fcbk,BKI-667,74.4554687488,29.877357037
fcbk,BKI-672,77.299768816,27.9147358471
fcbk,BKI-673,77.1547868988,27.9476678416
zigzag,BKI-674,77.2804104988,27.8708582043
zigzag,BKI-675,77.2831497024,27.8534969965
zigzag,BKI-676,77.4161823998,27.9485279746
zigzag,BKI-677,77.3258561285,27.9683256197
zigzag,BKI-678,77.1356640486,27.7944180911
fcbk,BKI-679,77.3961519167,27.9549947085
zigzag,BKI-680,77.3176503501,27.9066699383
zigzag,BKI-681,77.2240493334,27.9015343993
zigzag,BKI-682,77.4738839255,27.9151287041
zigzag,BKI-683,77.4426099673,27.9682646607
fcbk,BKI-684,77.3246801473,27.9039066358
zigzag,BKI-685,77.3007993349,27.8593703473
zigzag,BKI-686,77.2709689348,27.863725143
fcbk,BKI-687,77.3144786128,27.8828750982
fcbk,BKI-688,77.2638529568,27.9866466172
fcbk,BKI-689,77.4620771707,27.9408474904
fcbk,BKI-690,77.4631230016,27.9363140365
zigzag,BKI-691,77.4784372046,27.9658875014
zigzag,BKI-692,77.3195828573,27.8729011353
fcbk,BKI-693,77.2245035934,27.9359446787
zigzag,BKI-694,77.3270883068,27.974700987
zigzag,BKI-695,77.3950933626,27.965843548
fcbk,BKI-696,77.4648874751,27.9394141034
zigzag,BKI-697,77.2863610173,27.8717907568
zigzag,BKI-698,77.2958850835,27.8644325335
fcbk,BKI-699,77.1893345232,27.8802345954
zigzag,BKI-700,77.4574350133,27.9430290569
zigzag,BKI-701,77.3896166911,27.9542177202
zigzag,BKI-702,77.4596007082,27.9370908366
zigzag,BKI-704,77.3897519008,27.9549791864
fcbk,BKI-705,77.1450093145,27.7943539393
zigzag,BKI-706,77.4601128449,27.9338957524
fcbk,BKI-707,77.4208327398,27.8843657728
zigzag,BKI-709,77.4510054121,27.9612635352
zigzag,BKI-710,77.4518608852,27.9589091124
zigzag,BKI-711,77.2363465585,27.9802632365
zigzag,BKI-712,77.4470440467,27.9702516131
fcbk,BKI-713,77.2730147947,27.8640219106
zigzag,BKI-714,77.4580677772,27.9760131818
zigzag,BKI-715,77.2989584212,27.8875697324
zigzag,BKI-716,77.4571669446,27.936179609
zigzag,BKI-717,77.4783217705,27.9706663724
zigzag,BKI-718,77.3946782189,27.9572526833
zigzag,BKI-719,77.2408960031,27.9721858559
fcbk,BKI-720,77.1845558612,27.8757917396
fcbk,BKI-721,77.4710878606,27.9510067442
zigzag,BKI-722,77.357426422,27.8579736079
fcbk,BKI-724,77.4387950241,27.9670031975
zigzag,BKI-725,77.3772589015,27.8683643635
zigzag,BKI-726,77.4467831059,27.960928318
fcbk,BKI-727,77.2237375365,27.9697243868
zigzag,BKI-728,77.4154439275,27.9484671815
zigzag,BKI-729,77.2757740211,27.8678519085
zigzag,BKI-730,77.4628608973,27.9381465125
fcbk,BKI-731,77.2725600301,27.8689741169
fcbk,BKI-732,77.155476972,27.9378110368
zigzag,BKI-733,77.26152431,27.8779780228
zigzag,BKI-734,77.2773658112,27.8541130484
zigzag,BKI-735,77.449118078,27.9785545474
zigzag,BKI-736,77.1449999818,27.7898092884
zigzag,BKI-737,77.06722443,27.947437195
fcbk,BKI-738,77.4580801156,27.9465242518
zigzag,BKI-739,77.3451256327,27.9480720226
zigzag,BKI-740,77.3216785135,27.9021739208
fcbk,BKI-741,77.3296896979,27.9658161173
zigzag,BKI-742,80.97813343,27.4737911633
zigzag,BKI-743,88.0183942695,22.4430241909
fcbk,BKI-744,88.2279011692,22.5241486711
fcbk,BKI-745,88.2629620706,22.6441007834
fcbk,BKI-746,88.254727728,22.5415291272
fcbk,BKI-748,87.9332677859,22.300191215
zigzag,BKI-749,87.9305068254,22.3170349792
zigzag,BKI-750,88.2560599946,22.6126967849
fcbk,BKI-751,87.9439773163,22.5773535374
zigzag,BKI-752,87.9322309342,22.3056716046
fcbk,BKI-755,88.0720094519,22.4918283551
fcbk,BKI-756,88.2293767392,22.5419777482
fcbk,BKI-757,88.24494166,22.5505262921
fcbk,BKI-758,87.9326869946,22.3584357116
fcbk,BKI-759,88.2554314127,22.541338647
fcbk,BKI-760,87.8855765833,22.5383519687
zigzag,BKI-761,88.2311846359,22.5449014481
zigzag,BKI-762,87.9736301822,22.6639540483
fcbk,BKI-765,87.9335159213,22.3541019548
zigzag,BKI-766,88.145727337,22.3567781684
fcbk,BKI-767,88.2462431052,22.5383002673
fcbk,BKI-768,88.2605188731,22.6460215669
fcbk,BKI-769,88.2037100406,22.5175978943
fcbk,BKI-770,88.2487381518,22.5350155753
zigzag,BKI-772,87.8935867952,22.4552215589
fcbk,BKI-773,87.9759915543,22.6726649809
zigzag,BKI-774,88.0439021851,22.394445715
zigzag,BKI-775,87.8811492063,22.4688259337
fcbk,BKI-777,88.2477158409,22.5350193826
fcbk,BKI-779,88.0652721826,22.3560695855
zigzag,BKI-781,88.1245080768,22.4656392165
zigzag,BKI-783,88.0566416288,22.5302851984
zigzag,BKI-784,87.8835236857,22.4725545571
zigzag,BKI-785,88.0270191867,22.4180956475
zigzag,BKI-786,87.9299264443,22.3206735179
fcbk,BKI-787,87.9266534468,22.3066922277
zigzag,BKI-788,87.8989978222,22.4574247634
fcbk,BKI-789,87.9752873084,22.6757837308
fcbk,BKI-790,88.1241825238,22.4562743164
zigzag,BKI-791,87.9350109477,22.3309205564
fcbk,BKI-792,88.0248554701,22.4353570995
zigzag,BKI-795,88.1018705151,22.3328525292
zigzag,BKI-796,88.0245468972,22.4324280366
fcbk,BKI-797,88.0483963792,22.3409591198
zigzag,BKI-798,87.8804690155,22.4677402895
fcbk,BKI-799,87.9351970774,22.3267431628
zigzag,BKI-800,88.0474745333,22.3799112438
zigzag,BKI-803,88.0421257604,22.3984711805
zigzag,BKI-804,87.9298136091,22.3103878332
zigzag,BKI-805,88.0638296214,22.3572104151
zigzag,BKI-806,88.1338562879,22.4405523937
fcbk,BKI-807,83.709307237,26.0183657435
fcbk,BKI-808,83.6941741558,26.3098654863
zigzag,BKI-809,87.9290651844,22.3090286813
zigzag,BKI-810,88.1242835624,22.4622791424
fcbk,BKI-811,88.230383333,22.5434590495
fcbk,BKI-813,88.2356865271,22.5280746321
