plant_name,country,cap_all,total_cap,sts_all,units,status,prod_kw,nox_ef,nox_tn_y,so2_ef,so2_tn_y,p10_ef,p10_tn_y,pm25_ef,p25_tn_y,lat,lon
Ropar power station,India,"67.5, 75",142.5,"operating, operating",2,operating,1248300000,4.3,5367.69,7.2,8987.76,0.37,461.871,0.19,237.177,31.0417,76.5847
Rourkela Works-2 power station,India,"74,74,76.7",224.7,"operating, operating,operating",3,operating,1968372000,4.3,8463.9996,7.2,14172.2784,0.37,728.29764,0.19,373.99068,22.221,84.88055
Sabarmati power station,India,75,75,operating,1,operating,657000000,4.3,2825.1,7.2,4730.4,0.37,243.09,0.19,124.83,23.07056,72.59389
Sabarmati power station (NTPC Ltd),India,"500, 500",1000,"operating, operating",2,operating,8760000000,4.3,37668,7.2,63072,0.37,3241.2,0.19,1664.4,24.10538243,82.7063862
Salaya power plant,India,"300, 300",600,"operating, operating",2,operating,5256000000,4.3,22600.8,7.2,37843.2,0.37,1944.72,0.19,998.64,22.3049,69.7101
Salem Siscol power station,India,300,300,operating,1,operating,2628000000,4.3,11300.4,7.2,18921.6,0.37,972.36,0.19,499.32,11.81401,77.91907
Salora power station,India,300,300,operating,1,operating,2628000000,4.3,11300.4,7.2,18921.6,0.37,972.36,0.19,499.32,22.48995,82.60624
Sanjay Gandhi power station,India,660,660,construction,1,construction,5781600000,4.3,24860.88,7.2,41627.52,0.37,2139.192,0.19,1098.504,23.30574,81.06482
Santaldih Thermal Power Station,India,"500, 500",1000,"operating, operating",2,operating,8760000000,4.3,37668,7.2,63072,0.37,3241.2,0.19,1664.4,23.6013,86.4666
Sasan Ultra Mega Power Project,India,"300, 300",600,"operating, operating",2,operating,5256000000,4.3,22600.8,7.2,37843.2,0.37,1944.72,0.19,998.64,23.97752,82.62647
Sitapuram Cement power station,India,200,200,operating,1,operating,1752000000,4.3,7533.6,7.2,12614.4,0.37,648.24,0.19,332.88,17.05416,79.26979
Solapur power station,India,"200, 200",400,"operating, operating",2,operating,3504000000,4.3,15067.2,7.2,25228.8,0.37,1296.48,0.19,665.76,17.5513,75.9832
Sri Damodaram Sanjeevaiah Thermal Power Station,India,"500, 500",1000,"operating, operating",2,operating,8760000000,4.3,37668,7.2,63072,0.37,3241.2,0.19,1664.4,14.3276,80.12211
Talcher Kaniha Super Thermal Power Station,India,"250, 250, 250, 250, 250, 250",1500,"operating, operating,operating, operating, operating, operating",6,operating,13140000000,4.3,56502,7.2,94608,0.37,4861.8,0.19,2496.6,21.09807,85.07401
Talcher power station,India,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,20.91106,85.20724
Tamnar power station,India,"660, 600",1260,"operating, operating",2,operating,11037600000,4.3,47461.68,7.2,79470.72,0.37,4083.912,0.19,2097.144,22.09875,83.45131
Tata Mundra Ultra Mega Power Project,India,"110, 110",220,"operating, operating",2,operating,1927200000,4.3,8286.96,7.2,13875.84,0.37,713.064,0.19,366.168,22.8158,69.5281
Tenughat power station,India,"110, 110",220,"operating, operating",2,operating,1927200000,4.3,8286.96,7.2,13875.84,0.37,713.064,0.19,366.168,23.72766,85.76523
Tiroda Thermal Power Project,India,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,21.4125,79.96731
Tuticorin NTPL power station,India,60,60,operating,1,operating,525600000,4.3,2260.08,7.2,3784.32,0.37,194.472,0.19,99.864,8.760363,78.17108
Tuticorin Smelter power station,India,"60, 60",120,"operating, operating",2,operating,1051200000,4.3,4520.16,7.2,7568.64,0.37,388.944,0.19,199.728,8.816981,78.08998
Tuticorin Thermal Power Station,India,60,60,operating,1,operating,525600000,4.3,2260.08,7.2,3784.32,0.37,194.472,0.19,99.864,8.762518,78.17598
Vadlur power station,India,45,45,operating,1,operating,394200000,4.3,1695.06,7.2,2838.24,0.37,145.854,0.19,74.898,16.30158,77.36154
Vallur Thermal Power Plant,India,45,45,operating,1,operating,394200000,4.3,1695.06,7.2,2838.24,0.37,145.854,0.19,74.898,13.23713,80.30175
Dera Ghazi Khan Cement power station,Pakistan,30,30,operating,1,operating,262800000,4.3,1130.04,7.2,1892.16,0.37,97.236,0.19,49.932,30.33167,70.5394
Fauji Fertilizer power station,Pakistan,118,118,operating,1,operating,1033680000,4.3,4444.824,7.2,7442.496,0.37,382.4616,0.19,196.3992,24.83309,67.41962
Hub Cement power station,Pakistan,30,30,operating,1,operating,262800000,4.3,1130.04,7.2,1892.16,0.37,97.236,0.19,49.932,25.15589,66.78361
Hubco power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,24.914675,66.68876
Jamshoro power station,Pakistan,"660, 660",1320,"construction, permitted",2,construction,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,25.472222,68.266111
Keti Bandar power station,Pakistan,"660, 660",1320,"pre-permit, pre-permit",2,pre-permit,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,24.15,67.45
Muzaffargarh sugar mill power station,Pakistan,"60, 60",120,"operating, operating",2,operating,1051200000,4.3,4520.16,7.2,7568.64,0.37,388.944,0.19,199.728,30.29455,70.96697
Port Qasim EPC power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,24.7845,67.36939
Port Qasim Lucky power station,Pakistan,660,660,operating,1,operating,5781600000,4.3,24860.88,7.2,41627.52,0.37,2139.192,0.19,1098.504,24.8128054,67.2745601
Sahiwal power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,30.71422,73.23802
Siddiqsons power station,Pakistan,330,330,permitted,1,permitted,2890800000,4.3,12430.44,7.2,20813.76,0.37,1069.596,0.19,549.252,24.7836176,70.3670883
ThalNova power station,Pakistan,330,330,operating,1,operating,2890800000,4.3,12430.44,7.2,20813.76,0.37,1069.596,0.19,549.252,24.8154559,70.3883694
Thar Block I power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,4.3,49721.76,7.2,83255.04,0.37,4278.384,0.19,2197.008,24.7108029,70.3024933
Thar Block II power station,Pakistan,"330, 330",660,"operating, operating",2,operating,5781600000,4.3,24860.88,7.2,41627.52,0.37,2139.192,0.19,1098.504,24.8124812,70.394069
Thar Block VI power station,Pakistan,"700, 700",1400,"pre-permit, pre-permit",2,pre-permit,12264000000,4.3,52735.2,7.2,88300.8,0.37,4537.68,0.19,2330.16,24.8408017,70.3150749
Thar Energy Limited power station,Pakistan,330,330,operating,1,operating,2890800000,4.3,12430.44,7.2,20813.76,0.37,1069.596,0.19,549.252,24.8062135,70.4005007
Master Power Plant,Pakistan,0,0,operating,0, operating,0,4.3,0,7.2,0,0.37,0,0.19,0,31.26878487,74.17973657
Sheikhupura power station,Pakistan,31.5,31.5,construction,1,construction,275940000,4.3,1186.542,7.2,1986.768,0.37,102.0978,0.19,52.4286,31.6526,74.1808
Sapphire Power Plant ,Pakistan,225,225,operating,1,operating,1971000000,4.3,8475.3,7.2,14191.2,0.37,729.27,0.19,374.49,31.76241512,74.03534412
Nestle Power Plant,Pakistan,0,0,operating,,operating,0,4.3,0,7.2,0,0.37,0,0.19,0,31.6884929,74.07641003
Bin Ajmal Rice Processing Mills,Pakistan,0,0,operating,,operating,0,4.3,0,7.2,0,0.37,0,0.19,0,31.77556433,74.08766862
Faisalabad Sitara Chemical power plant,Pakistan,"40,40",80,operating,2,operating,700800000,4.3,3013.44,7.2,5045.76,0.37,259.296,0.19,133.152,31.52292,73.38822
Gwadar power station,Pakistan,"150, 150",300,permitted,2,permitted,2628000000,4.3,11300.4,7.2,18921.6,0.37,972.36,0.19,499.32,25.2052,62.3519
Maple Leaf power station,Pakistan,40,40,operating,1,operating,350400000,4.3,1506.72,7.2,2522.88,0.37,129.648,0.19,66.576,32.90467,71.61064
