id,name,lat,lon,type, fuel,region,country,status,capacities,capacity_power,prod_kw,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,source
CU-10,Kabulasoke Solar Power Station,0.162181,31.80291,,,,Uganda,,,,,,,,,,,,,
CU-11,Kisiizi Hydroelectric Power Station,-0.9957926,29.9618406,,,,Uganda,,,,,,,,,,,,,
CU-12,Namugoga Solar Power Station,0.1725165,32.5681871,,,,Uganda,,,,,,,,,,,,,
CU-13,Osukuru Thermal Power Station,0.6321157,34.1583296,,,,Uganda,,,,,,,,,,,,,
CU-14,Tororo Thermal Power Station,0.6372205,34.1166619,,,,Uganda,,,,,,,,,,,,,
CU-15,Kiira Power Station,0.4502929,33.185576,,,,Uganda,,,,,,,,,,,,,
CU-16,Lugazi Thermal Power Station,0.3798548,32.9450197,,,,Uganda,,,,,,,,,,,,,
CU-17,Nyamagasani I Hydroelectric Power Station,0.141548,29.931688,,,,Uganda,,,,,,,,,,,,,
CU-18,Sindila Hydroelectric Power Station,0.6851763,30.0202964,,,,Uganda,,,,,,,,,,,,,
CU-19,Kakira Thermal Power Station,0.5089174,33.2899691,,,,Uganda,,,,,,,,,,,,,
CU-20,Ndugutu Hydroelectric Plant,0.6156281,29.9794407,,,,Uganda,,,,,,,,,,,,,
CG-1,Sunon-Asogli Power Limited,5.6788484,0.0467972,,,,Ghana,,,,,,,,,,,,,
CG-2,Kpone Thermal Power Station,5.7360445,0.0090934,,,,Ghana,,,,,,,,,,,,,
CG-3,Tema Thermal 1 Power Plant (TT1PP),5.6747055,0.011861,,,,Ghana,,,,,,,,,,,,,
CG-4,Amandi Energy power plant,4.9687311,-1.6664434,,,,Ghana,,,,,,,,,,,,,
CG-5,Cenpower Generation Company Limited,5.6808455,0.0405072,,,,Ghana,,,,,,,,,,,,,
CG-6,Kaleo Solar Power Plant,10.1744488,-2.5343935,,,,Ghana,,,,,,,,,,,,,
CG-7,Kpone Independent Power Plant,5.6815315,0.0409771,,,,Ghana,,,,,,,,,,,,,
CG-8,Ameri Power Plant,4.9742907,-1.6595719,,,,Ghana,,,,,,,,,,,,,
CG-9,Navrongo Solar Power Station,10.8800555,-1.1025222,,,,Ghana,,,,,,,,,,,,,
CG-10,GPGC Power Plant,5.6980491,0.0229239,,,,Ghana,,,,,,,,,,,,,
CG-11,AKSA ENERGY GHANA,5.6942001,0.0249885,,,,Ghana,,,,,,,,,,,,,
CG-12,Epl Bridge power plant,5.6482659,0.0192137,,,,Ghana,,,,,,,,,,,,,
CG-13,Nuclear Power Ghana,5.6126157,-0.1808765,,,,Ghana,,,,,,,,,,,,,
CG-14,Bridge Power Project,5.6773749,0.0184963,,,,Ghana,,,,,,,,,,,,,
CG-15,Gomoa Onyaadze Solar Power Station,5.3460915,-0.7034052,,,,Ghana,,,,,,,,,,,,,
CG-16,Nzema Solar Power Station,5.0462465,-2.4376759,,,,Ghana,,,,,,,,,,,,,
CS-1,Gallen Cement power station,14.796229,-17.039687,,unknown,Dakar,Senegal,operating,30,,,,,,,,,,,GEM
CS-2,Sendou power station,14.686988,-17.213926,,unknown,Dakar,Senegal,operating,125,,,,,,,,,,,GEM
=======
=======
>>>>>>> Stashed changes
CN-1,Gboko Cement power station,7.411,8.974,,coal,Benue,Nigeria,operating,38.5,38,332880000,0.00037,6.15828,0.00019,3.16236,0.0072,119.8368,0.0043,71.5692,GEM
CN-2,Ibese Cement power station,7.004,3.048,,coal,Ogun,Nigeria,operating,"37,37,37",111,972360000,0.00037,17.98866,0.00019,9.23742,0.0072,350.0496,0.0043,209.0574,GEM
CN-3,Okpella Cement power station,7.344217,6.462388,,coal,Edo,Nigeria,operating,"30,30",60,525600000,0.00037,9.7236,0.00019,4.9932,0.0072,189.216,0.0043,113.004,GEM
CN-4,Obajana Cement power station,7.926,6.423,,coal,Kogi,Nigeria,operating,"45,45,45",135,1182600000,0.00037,21.8781,0.00019,11.2347,0.0072,425.736,0.0043,254.259,GEM
CN-5,Ugboba power station,6.421924,6.460065,,lignite,Delta,Nigeria,permitted,600,600,5256000000,0.00037,97.236,0.00019,49.932,0.0072,1892.16,0.0043,1130.04,GEM
CN-6,Egbin Thermal Power Station,6.5661818,3.5946767,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-7,NIPP Gbarain-Ubie Power Station,5.0310479,6.3015074,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-8,Azura Edo IPP,6.4110031,5.6803898,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-9,Egbema Power Plant Umuezi Mmahu,5.5656073,6.738329,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-10,Oji Termal Station,6.2622331,7.2770691,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-11,MOSRA ENERGY LTD,7.6750691,7.6900815,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-12,Okoloma Gas Plant,4.8444578,7.2534579,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-13,National Integrated Power Project,6.5859319,3.5231689,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-14,Shiroro Power Station,9.9731206,6.8343434,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-15,African Natural Resources & Mines Limited,9.4624814,7.3679633,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-16,Ethiope Energy Ltd,4.8248095,7.0389116,,,,Nigeria,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CN-17,Resident Cement Gwana power station,9.630984,10.818145,,unknown,Bauchi,Nigeria,announced,100,100,876000000,0.00037,16.206,0.00019,8.322,0.0072,315.36,0.0043,188.34,GEM
CN-18,DANGOTE BENUE CEMENT,7.4108,8.9739,,,,Nigeria,operating,43.9,43.9,384564000,0.00037,7.114434,0.00019,3.653358,0.0072,138.44304,0.0043,82.68126,Climate Trace
CU-1,Mubuku I Hydroelectric Power Station,0.3183067,30.1003841,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-2,Mpanga Power Station,0.0664008,30.3213429,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-3,Bugoye Hydroelectric Power Station,0.30536,30.0979116,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-4,Nkusi Hydroelectric Power Station,1.1204641,30.6686338,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-5,Mubuku III Hydroelectric Power Station,0.260349,30.1493637,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-6,Nyagak Hydro Power Station,2.4282002,30.9733178,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-7,Mahoma Hydroelectric Power Station,0.4785387,30.2730483,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-8,Nkonge Solar Power Station,0.5761443,31.7195459,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-9,Uganda Electricity Generation Company Limited,0.3446615,32.5937724,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-10,Kabulasoke Solar Power Station,0.162181,31.80291,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-11,Kisiizi Hydroelectric Power Station,-0.9957926,29.9618406,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-12,Namugoga Solar Power Station,0.1725165,32.5681871,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-13,Osukuru Thermal Power Station,0.6321157,34.1583296,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-14,Tororo Thermal Power Station,0.6372205,34.1166619,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-15,Kiira Power Station,0.4502929,33.185576,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-16,Lugazi Thermal Power Station,0.3798548,32.9450197,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-17,Nyamagasani I Hydroelectric Power Station,0.141548,29.931688,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-18,Sindila Hydroelectric Power Station,0.6851763,30.0202964,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-19,Kakira Thermal Power Station,0.5089174,33.2899691,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CU-20,Ndugutu Hydroelectric Plant,0.6156281,29.9794407,,,,Uganda,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-1,Sunon-Asogli Power Limited,5.6788484,0.0467972,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-2,Kpone Thermal Power Station,5.7360445,0.0090934,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-3,Tema Thermal 1 Power Plant (TT1PP),5.6747055,0.011861,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-4,Amandi Energy power plant,4.9687311,-1.6664434,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-5,Cenpower Generation Company Limited,5.6808455,0.0405072,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-6,Kaleo Solar Power Plant,10.1744488,-2.5343935,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-7,Kpone Independent Power Plant,5.6815315,0.0409771,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-8,Ameri Power Plant,4.9742907,-1.6595719,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-9,Navrongo Solar Power Station,10.8800555,-1.1025222,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-10,GPGC Power Plant,5.6980491,0.0229239,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-11,AKSA ENERGY GHANA,5.6942001,0.0249885,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-12,Epl Bridge power plant,5.6482659,0.0192137,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-13,Nuclear Power Ghana,5.6126157,-0.1808765,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-14,Bridge Power Project,5.6773749,0.0184963,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-15,Gomoa Onyaadze Solar Power Station,5.3460915,-0.7034052,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CG-16,Nzema Solar Power Station,5.0462465,-2.4376759,,,,Ghana,,,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,
CS-1,Gallen Cement power station,14.796229,-17.039687,,unknown,Dakar,Senegal,operating,30,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,GEM
CS-2,Sendou power station,14.686988,-17.213926,,unknown,Dakar,Senegal,operating,125,,0,0.00037,0,0.00019,0,0.0072,0,0.0043,0,GEM
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
